Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шаповал,Охрім,Романович,Чоловік,1939-04-14,Гірничий інженер,хутір Білогірськ,"набережна Іванова Ігоря, буд. 812 кв. 4, Рожище, 92936",+380 83 043-25-77,ielysaveta17@example.net
Олійник,Вʼячеслав,Романович,Чоловік,1987-09-24,Єгер,селище Вільнянськ,"провулок Гвоздична, буд. 9 кв. 11, Борзна, 92710",+380 (62) 461-59-62,mariana12@example.com
Матяш,Орхип,Олександрович,Чоловік,1975-02-09,Хімік,селище Апостолове,"сквер Разумовська, буд. 924, Дрогобич, 93087",034 690 16 19,anzhelavysochan@example.org
Тичина,Олег,Миколайович,Чоловік,1939-05-21,Літературознавець,селище Хотин,"шосе Наявний 2-й, буд. 801 кв. 0, Дубляни, 97883",+380 21 022-87-41,tdashenko@example.com
Авраменко,Ігор,Григорович,Чоловік,2000-02-13,Мікробіолог,хутір Новоукраїнка,"набережна Степана Олійника узвіз, буд. 526, Буринь, 37352",037 665 38 17,davydenkoiarema@example.net
Засядько,Ірена,Василівна,Жінка,1953-06-08,Дерун,селище Ізмаїл,"узвіз Сортувальна 2-га, буд. 03 кв. 9, Іршава, 19363",+380 (89) 636-60-35,ustymsymonenko@example.com
Козак,Єва,Василівна,Жінка,1974-08-13,Євнух,селище Новгород-Сіверський,"набережна Лінія 46-та, буд. 58, Кролевець, 61401",+380 66 300-72-56,varvaraandreiko@example.org
Василашко,Одарка,Тимофіївна,Жінка,1955-07-14,Фольклорист,селище Світловодськ,"проспект Лугова, буд. 4, Тернівка, 69199",+380 (73) 867-45-95,skhrystenko@example.org
Бараник,Венедикт,Юрійович,Чоловік,2000-07-14,Співак,село Сіверськ,"площа Затишна, буд. 2 кв. 4, Середина-Буда, 63174",+380 75 978-38-17,tymchukborys@example.com
Тесленко,Михайлина,Ігорівна,Жінка,1965-02-26,Медик,місто Копичинці,"сквер Остапа Вишні, буд. 34, Сміла, 89871",892 96 32,hchekaliuk@example.org
Вітер,Пріска,Володимирівна,Жінка,1961-03-24,Державний службовець,селище Сорокине,"вулиця Азербайджан, буд. 97 кв. 933, Сіверськодонецьк, 24993",+380 (34) 568-21-62,lbaturynets@example.org
Опанасенко,Мартин,Романович,Чоловік,1962-03-12,Конструктор,селище Миргород,"сквер Польовий 1-й, буд. 839 кв. 10, Хоростків, 16948",088 384-74-20,zpanchuk@example.org
Остапчук,Еріка,Ігорівна,Жінка,2003-03-30,Правник,місто Приморськ,"набережна Зарічна, буд. 119, Золочів, 39087",+380 (15) 975-62-36,arsentryhub@example.net
Таран,Ярослав,Максимович,Чоловік,1963-08-23,Фрілансер,місто Білицьке,"шосе Сталепрокатна, буд. 699 кв. 377, Здолбунів, 89341",218 09 54,ihor98@example.com
Аронець,Аркадій,Миколайович,Чоловік,1945-11-12,Пілот,село Охтирка,"проспект Ванний, буд. 0 кв. 4, Славута, 76786",+380 (90) 200-72-56,kyrylo27@example.org
Мазур,Віолетта,Василівна,Жінка,1997-12-03,Державний службовець,місто Збараж,"парк Восьмого березня 6-й, буд. 4, Кремінна, 40545",+380 37 401-12-82,levko23@example.org
Єресько,Віктор,Андрійович,Чоловік,1971-10-05,Етнограф,село Сніжне,"площа Килимова, буд. 08 кв. 683, Ясинувата, 69396",032 554-31-23,bvakulenko@example.org
Макогон,Андрій,Тимофійович,Чоловік,1992-11-03,Перекладач,село Славута,"площа Підйомний, буд. 93 кв. 6, Сватове, 93213",+380 (50) 393-14-29,anikoliuk@example.org
Цушко,Вікторія,Григорівна,Жінка,1991-07-16,Геолог,селище Ізюм,"парк Давида Ойстраха, буд. 9, Жданівка, 34429",343-81-00,ichumak@example.com
Шухевич,Станіслав,Миколайович,Чоловік,2001-04-17,Гінеколог,хутір Краматорськ,"узвіз Професора Коровицького, буд. 3 кв. 6, Кролевець, 58937",728-90-45,viktoriiakhomenko@example.org
Бабак,Христина,Петрівна,Жінка,1959-02-03,Адвокат,селище Калуш,"узвіз Деревообробна, буд. 79, Устилуг, 33388",+380 (27) 465-99-75,odarka10@example.org
Литвиненко,Альберт,Петрович,Чоловік,2002-03-23,Драматург,хутір Новогродівка,"проспект Йозефа Прибіка, буд. 648 кв. 4, Синельникове, 26433",027 923 39 17,bzasenko@example.net
Чміль,Болеслав,Федорович,Чоловік,1990-12-28,Соціолог,селище Ямпіль,"набережна Восьмого березня 8-й, буд. 09, Сніжне, 24284",082 939 77 38,vzhuravel@example.org
Бабариченко,Дан,Григорович,Чоловік,1948-01-02,Намотувальник,місто Білицьке,"узвіз Старорізнична, буд. 7 кв. 59, Перевальськ, 10814",005 318 25 14,okseniiaiukhymenko@example.net
Ґерус,Леон,Богданович,Чоловік,1942-03-01,Художник,село Березівка,"вулиця Миколи Бажана, буд. 208, Чоп, 67983",032 856 46 78,shabliisviatoslava@example.net
Романець,Галина,Романівна,Жінка,1994-11-09,Фотограф,село Люботин,"набережна Софіївська, буд. 25, Кам'янське, 30732",+380 58 001 93 64,irena90@example.net
Цимбал,Алла,Андріївна,Жінка,1979-12-14,Футболіст,село Токмак,"шосе Ізмаїльська, буд. 5 кв. 4, Великі Мости, 93371",356 92 96,zbandura@example.org
Титаренко,Кирило,Павлович,Чоловік,1998-04-09,Астронавт,селище Хмельницький,"вулиця Привокзальний, буд. 0 кв. 43, Виноградів, 86798",319 70 37,xbabak@example.com
Самойленко,Леон,Максимович,Чоловік,1997-10-09,Агроном,місто Тячів,"проспект Ламаний, буд. 886, Авдіївка, 38285",+380 76 596-66-36,iaroslav63@example.org
Тарасенко,Олег,Сергійович,Чоловік,1992-12-02,Модельєр,хутір Сторожинець,"шосе Обільний 2-й, буд. 4 кв. 5, Новий Калинів, 95155",015 413 04 88,pylyp30@example.com
Лагода,Ігор,Федорович,Чоловік,1976-08-08,Ветеринар,селище Теплодар,"набережна Шахтинський, буд. 303, Гуляйполе, 44738",050 356 09 58,gdemianchuk@example.com
Цушко,Данна,Андріївна,Жінка,1972-03-12,Будник,селище Яготин,"шосе Ялинковий, буд. 51 кв. 855, Новомиргород, 38493",087 597 84 33,andrii47@example.org
Асаула,Ярина,Сергіївна,Жінка,1970-07-30,Живописець,хутір Алмазна,"вулиця Лиманчик 2-й Лінія 11-та, буд. 2, Бунге, 71377",095 332 30 51,ustymkashchenko@example.org
Скирда,Федір,Сергійович,Чоловік,1956-06-30,Правник,хутір Миколаїв,"вулиця Троїцька, буд. 3, Чуднів, 36331",+380 63 209-03-16,mamchureduard@example.net
Козаченко,Єва,Дмитрівна,Жінка,1945-02-23,Машиніст,село Радомишль,"провулок Осіння, буд. 19, Вугледар, 72251",589 78 42,iarynaartiukh@example.org
Артимишин,Володимира,Тимофіївна,Жінка,1938-12-18,Конструктор,селище Городенка,"площа 15-та ст. Великого Фонтану пляж, буд. 17 кв. 6, П'ятихатки, 49527",+380 98 055-14-96,rdrobiazko@example.org
Лесик,Наталія,Максимівна,Жінка,1980-09-03,Ді-джей,місто Роздільна,"узвіз 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 408, Дніпро, 53923",457-29-65,maksym34@example.net
Ватаманюк,Михайлина,Ігорівна,Жінка,1954-01-21,Ріелтор,хутір Жовква,"сквер Тополина, буд. 63, Броди, 10953",717 63 91,wtovstukha@example.net
Шморгун,Марта,Василівна,Жінка,1951-03-04,Епідеміолог,село Тячів,"сквер Косий, буд. 5, Часів Яр, 33744",+380 54 447-17-13,datsiukartem@example.net
Бгиденко,Дан,Георгійович,Чоловік,1973-07-24,Різноробочий,хутір Тячів,"провулок Могилівська, буд. 617 кв. 4, Вишгород, 94701",+380 65 157 88 27,venedyktmedvedenko@example.net
